Id,primary_use,processor_brand,price,capacity,ram,touchscreen,size,resolution,weight
4,10,3,925,512,16,1,14,1080,3.46
6,10,3,360,256,4,0,15.6,1080,3.13
8,10,3,820,1000,8,0,15.6,1080,5.07
14,10,1,450,256,8,0,15.6,1080,3.88
17,10,3,590,256,8,0,15.6,1080,3.97
51,10,3,825,512,16,0,15.6,1080,3.9
67,10,3,800,256,8,0,15.6,1080,3.92
76,10,3,925,512,16,1,14,1080,5.38
78,10,3,360,256,4,0,15.6,1080,3.35
80,10,3,800,1000,8,0,15.6,1080,5.07
86,10,1,450,256,8,0,15.6,1080,2.95
89,10,3,590,256,8,0,15.6,1080,3.97
124,10,1,695,512,16,0,15.6,1080,3.97
156,10,3,685,128,4,1,13.3,1080,3.09
157,10,3,1180,512,16,0,17.3,1080,3.37
172,10,3,555,256,8,0,15.6,1080,2.76
272,10,3,378,256,8,0,15.6,1080,4.01
396,10,3,509,512,8,0,15.6,1080,3.97
399,10,3,740,256,8,0,15.6,1080,4.08
418,10,1,1100,1000,16,0,15.6,1080,3.64
437,10,3,825,256,8,0,15.6,1080,3.66
439,10,3,740,256,8,0,15.6,1080,3.97
458,10,3,388,256,8,0,14.1,1080,3.53
460,10,3,279,256,4,0,15.6,768,4.19
490,10,3,740,512,8,0,14,1080,2.67
525,10,3,564,256,8,0,15.6,1080,4.65
644,10,1,675,512,8,0,15.6,1080,3.86
645,10,1,685,512,16,0,15.6,1080,3.86
756,10,3,719,512,16,0,15.6,1080,3.64
782,10,3,800,512,8,0,15.6,1080,3.97
783,10,3,684,512,8,0,15.6,1080,5.07
912,10,3,940,512,8,0,13.3,768,2.76
937,10,3,569,256,8,0,15.6,1080,4.85
9,20,3,405,256,8,0,15.6,1080,3.55
10,20,1,380,256,8,0,15.6,1080,3.7
35,20,3,515,256,8,0,15.6,1080,4.65
36,20,3,800,256,8,0,15.6,720,3.26
48,20,3,610,512,8,0,15.6,1080,3.64
60,20,3,605,512,8,0,15.6,1080,3.75
64,20,3,625,512,8,0,15.6,1080,4.19
65,20,1,550,512,8,0,15.6,720,4.14
66,20,3,425,256,8,0,15.6,768,3.97
69,20,1,840,512,16,0,16,1200,4.19
81,20,3,405,256,8,0,15.6,1080,3.55
82,20,1,380,256,8,0,15.6,1080,3.7
123,20,3,550,512,8,0,15.6,1080,3.97
138,20,1,550,512,8,0,15.6,1080,3.97
139,20,3,510,512,8,0,15.6,1080,3.97
141,20,1,510,512,8,0,15.6,1080,3.97
142,20,3,510,256,8,0,15.6,1080,3.97
154,20,3,385,256,8,0,14,768,3.22
166,20,3,360,1000,4,0,15.6,768,3.97
168,20,1,625,512,8,0,15.6,1080,4.65
183,20,3,625,512,16,0,14,1080,3.26
186,20,3,625,512,16,0,14,1080,3.26
196,20,3,510,512,8,0,15.6,1080,3.97
199,20,1,625,1000,8,0,15.6,1080,3.97
